Title,Note,URL,Comment
Pophams Home & Pantry,,https://www.google.com/maps/place/Pophams+Home+%26+Pantry/data=!4m2!3m1!1s0x48761b71451e7a91:0xf421a5915d112b13,
Sessions Arts Club,Spring's rec,https://www.google.com/maps/place/Sessions+Arts+Club/data=!4m2!3m1!1s0x48761b03660fcde5:0xb606de409a3692ee,
manteca,Spring's rec,https://www.google.com/maps/place/manteca/data=!4m2!3m1!1s0x487605af3a2cdb1b:0xa231cb4af8b93b19,
Little Duck The Picklery,Spring's rec,https://www.google.com/maps/place/Little+Duck+The+Picklery/data=!4m2!3m1!1s0x48761cf2a504f6ed:0x8352c18957549191,
STRAKER'S,Spring's rec,https://www.google.com/maps/place/STRAKER'S/data=!4m2!3m1!1s0x48761133abe90753:0xb014d965de61ff0e,
Pophams,Spring's rec,https://www.google.com/maps/place/Pophams/data=!4m2!3m1!1s0x48761b606577a8e9:0x23af144d10218a9c,
The 10 Cases,James O'Neill's rec,https://www.google.com/maps/place/The+10+Cases/data=!4m2!3m1!1s0x487604ccb114da1b:0xc889cfb913c5d77f,
Legare,James O'Neill's rec,https://www.google.com/maps/place/Legare/data=!4m2!3m1!1s0x4876032166e26421:0x79c1c38cf9311d8,
Maison François,James O'Neill's rec,https://www.google.com/maps/place/Maison+Fran%C3%A7ois/data=!4m2!3m1!1s0x487604d65714a58f:0x9660b520db449d57,
Bocca di Lupo,James O'Neill's rec,https://www.google.com/maps/place/Bocca+di+Lupo/data=!4m2!3m1!1s0x487604d39a05c17d:0x4a3aa39eed0f9cf6,
Hoppers,James O'Neill's rec,https://www.google.com/maps/place/Hoppers/data=!4m2!3m1!1s0x48761ad2c3d07d09:0xd8bdb2efdca543e9,
Social Eating House,James' rec,https://www.google.com/maps/place/Social+Eating+House/data=!4m2!3m1!1s0x487604d4c0e3a357:0xd4b0e3215603abf7,
"Petersham Nurseries Restaurant, Richmond",,"https://www.google.com/maps/place/Petersham+Nurseries+Restaurant,+Richmond/data=!4m2!3m1!1s0x48760da1ef8f193f:0x9f500a1d4f1906d7",
Shizen,Vegan sushi and ramen,https://www.google.com/maps/place/Shizen/data=!4m2!3m1!1s0x808f7e21a0ce5121:0xc098d695dbb20e9f,
Ondam,,https://www.google.com/maps/place/Ondam/data=!4m2!3m1!1s0x808fcbeedef15ce5:0xbd2e4786d06702f,
